"filename", "language", "JavaScript", "JSON", "JSON with Comments", "Perl", "TypeScript", "Markdown", "Groovy", "YAML", "comment", "blank", "total"
"d:\ttlab\qr-code-backend\.eslintrc.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"d:\ttlab\qr-code-backend\.hygen.js", "JavaScript", 116, 0, 0, 0, 0, 0, 0, 0, 1, 10, 127
"d:\ttlab\qr-code-backend\.hygen\generator\help\index.ejs.t", "Perl", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 5
"d:\ttlab\qr-code-backend\.hygen\generator\new\hello.ejs.t", "Perl", 0, 0, 0, 13, 0, 0, 0, 0, 0, 6, 19
"d:\ttlab\qr-code-backend\.hygen\generator\with-prompt\hello.ejs.t", "Perl", 0, 0, 0, 13, 0, 0, 0, 0, 0, 6, 19
"d:\ttlab\qr-code-backend\.hygen\generator\with-prompt\prompt.ejs.t", "Perl", 0, 0, 0, 13, 0, 0, 0, 0, 0, 2, 15
"d:\ttlab\qr-code-backend\.hygen\init\repo\new-repo.ejs.t", "Perl", 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"d:\ttlab\qr-code-backend\.hygen\new\module\v1\builder.ejs.t", "Perl", 0, 0, 0, 17, 0, 0, 0, 0, 0, 2, 19
"d:\ttlab\qr-code-backend\.hygen\new\module\v1\constant.ejs.t", "Perl", 0, 0, 0, 20, 0, 0, 0, 0, 0, 2, 22
"d:\ttlab\qr-code-backend\.hygen\new\module\v1\controller.ejs.t", "Perl", 0, 0, 0, 140, 0, 0, 0, 0, 0, 15, 155
"d:\ttlab\qr-code-backend\.hygen\new\module\v1\database-name.ejs.t", "Perl", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 13
"d:\ttlab\qr-code-backend\.hygen\new\module\v1\entity.ejs.t", "Perl", 0, 0, 0, 20, 0, 0, 0, 0, 0, 2, 22
"d:\ttlab\qr-code-backend\.hygen\new\module\v1\factory\factory-inject-1.ejs.t", "Perl", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 13
"d:\ttlab\qr-code-backend\.hygen\new\module\v1\factory\factory-inject-2.ejs.t", "Perl", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 14
"d:\ttlab\qr-code-backend\.hygen\new\module\v1\factory\factory.ejs.t", "Perl", 0, 0, 0, 19, 0, 0, 0, 0, 0, 3, 22
"d:\ttlab\qr-code-backend\.hygen\new\module\v1\i18n\en.inject.ejs.t", "Perl", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 14
"d:\ttlab\qr-code-backend\.hygen\new\module\v1\i18n\en.inject2.ejs.t", "Perl", 0, 0, 0, 13, 0, 0, 0, 0, 0, 1, 14
"d:\ttlab\qr-code-backend\.hygen\new\module\v1\i18n\en.json.ejs.t", "Perl", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 23
