Date : 2022-08-08 06:17:37
Directory : d:\ttlab\qr-code-backend
Total : 251 files,  9335 codes, 812 comments, 1344 blanks, all 11491 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript         |        193 |      7,595 |        739 |      1,209 |      9,543 |
| JSON               |         23 |        689 |          2 |         18 |        709 |
| Perl               |         28 |        595 |          0 |         67 |        662 |
| Markdown           |          1 |        224 |          0 |         32 |        256 |
| JavaScript         |          3 |        157 |          2 |         12 |        171 |
| YAML               |          1 |         32 |          2 |          1 |         35 |
| Groovy             |          1 |         25 |          0 |          5 |         30 |
| JSON with Comments |          1 |         18 |         67 |          0 |         85 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                   |        251 |      9,335 |        812 |      1,344 |     11,491 |
| .hygen                                                                              |         28 |        595 |          0 |         67 |        662 |
| .hygen\generator                                                                    |          4 |         44 |          0 |         14 |         58 |
| .hygen\generator\help                                                               |          1 |          5 |          0 |          0 |          5 |
| .hygen\generator\new                                                                |          1 |         13 |          0 |          6 |         19 |
| .hygen\generator\with-prompt                                                        |          2 |         26 |          0 |          8 |         34 |
| .hygen\init                                                                         |          1 |          4 |          0 |          1 |          5 |
| .hygen\init\repo                                                                    |          1 |          4 |          0 |          1 |          5 |
| .hygen\new                                                                          |         23 |        547 |          0 |         52 |        599 |
| .hygen\new\module                                                                   |         23 |        547 |          0 |         52 |        599 |
| .hygen\new\module\v1                                                                |         23 |        547 |          0 |         52 |        599 |
| .hygen\new\module\v1\factory                                                        |          3 |         46 |          0 |          3 |         49 |
| .hygen\new\module\v1\i18n                                                           |          6 |        100 |          0 |          2 |        102 |
| database                                                                            |         39 |      1,606 |        103 |        176 |      1,885 |
| database\factories                                                                  |         14 |        293 |         57 |         49 |        399 |
| database\migrations                                                                 |          1 |         64 |          0 |          5 |         69 |
| database\seedings                                                                   |         13 |        744 |         35 |         76 |        855 |
| database\seedings\excutor                                                           |          1 |         26 |          0 |          2 |         28 |
| database\temp                                                                       |          8 |        385 |          8 |         34 |        427 |
| database\temp\migrations                                                            |          2 |         76 |          0 |         10 |         86 |
| database\temp\seeds                                                                 |          2 |        118 |          0 |          8 |        126 |
| docker                                                                              |          1 |         32 |          2 |          1 |         35 |
| src                                                                                 |        172 |      6,533 |        636 |      1,049 |      8,218 |
| src\common                                                                          |         46 |      1,891 |        162 |        341 |      2,394 |
| src\common\base                                                                     |          7 |        313 |         15 |         65 |        393 |
| src\common\config                                                                   |          2 |         72 |          0 |          9 |         81 |
| src\common\constants                                                                |          4 |        143 |          1 |         38 |        182 |
| src\common\decorators                                                               |          4 |        283 |         22 |         45 |        350 |
| src\common\entites                                                                  |          1 |         44 |          0 |         13 |         57 |
| src\common\exceptions                                                               |          4 |         27 |          0 |          8 |         35 |
| src\common\filters                                                                  |          2 |        161 |          6 |         14 |        181 |
| src\common\guards                                                                   |          2 |        124 |          1 |         15 |        140 |
| src\common\helpers                                                                  |          3 |        148 |          0 |         18 |        166 |
| src\common\interceptors                                                             |          2 |         25 |         18 |          7 |         50 |
| src\common\modules                                                                  |          7 |        225 |          6 |         21 |        252 |
| src\common\modules\database                                                         |          2 |        100 |          1 |          6 |        107 |
| src\common\modules\i18n                                                             |          1 |         24 |          5 |          4 |         33 |
| src\common\modules\services                                                         |          1 |         10 |          0 |          2 |         12 |
| src\common\modules\winston                                                          |          1 |         48 |          0 |          4 |         52 |
| src\common\pipes                                                                    |          2 |         51 |          1 |         10 |         62 |
| src\common\providers                                                                |          3 |         82 |          5 |         27 |        114 |
| src\i18n                                                                            |         22 |        606 |         10 |         36 |        652 |
| src\i18n\en                                                                         |         10 |        294 |          0 |         15 |        309 |
| src\i18n\vi                                                                         |         10 |        290 |          0 |         15 |        305 |
| src\modules                                                                         |         95 |      3,701 |        316 |        610 |      4,627 |
| src\modules\action                                                                  |         10 |        345 |          1 |         52 |        398 |
| src\modules\action\dto                                                              |          2 |         69 |          0 |         13 |         82 |
| src\modules\action\dto\request                                                      |          1 |         35 |          0 |          9 |         44 |
| src\modules\action\dto\response                                                     |          1 |         34 |          0 |          4 |         38 |
| src\modules\action\entity                                                           |          1 |         29 |          0 |          9 |         38 |
| src\modules\action\services                                                         |          1 |         48 |          0 |          6 |         54 |
| src\modules\auth                                                                    |         13 |        671 |         27 |         81 |        779 |
| src\modules\auth\dto                                                                |          6 |        159 |          0 |         28 |        187 |
| src\modules\auth\dto\requests                                                       |          5 |        137 |          0 |         20 |        157 |
| src\modules\auth\dto\responses                                                      |          1 |         22 |          0 |          8 |         30 |
